name,description,link_url,image_url,manufacturer_id
AURA ALTO PENDANT,The Aura Alto Pendant emits an elegant glow that is diffused by a satin white acrylic outer ring. The inner ring is composed of cold-rolled steel and is finished with a plated or powder coat finish. The Aura Alto Pendant works beautifully in larger configurations or can be used as a stand-alone pendant. ,https://www.ridgelystudioworks.com/collections/all/products/aura-alto-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/Alto_Inverso_Pendant-Recoloured_1024x1024.jpg?v=1659031524,3180
AURA PENDANT,The Aura Pendant emits an elegant glow that is diffused by a satin white acrylic inner ring. The outer ring is composed of cold-rolled steel and is finished with a plated or powder coat finish. The Aura Pendant works beautifully in larger configurations or can be used as a stand-alone pendant.,https://www.ridgelystudioworks.com/collections/all/products/aura-pendant-1,https://www.ridgelystudioworks.com/cdn/shop/products/Aura_PendantSatinBrass_R_1024x1024.jpg?v=1674594198,3180
AURA SLIM PENDANT,The Aura Slim Pendant emits an elegant glow that is diffused by a minimal satin white acrylic inner ring. The outer ring is composed of cold-rolled steel and can be finished in plated or powder coat options. The Aura Slim Pendant works beautifully in larger configurations or can be used as a stand-alone pendant.,https://www.ridgelystudioworks.com/collections/all/products/aura-slim-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/AU-SM-PND-1_1024x1024.jpg?v=1519320911,3180
BAMBOO WALL SCONCE,"The BAMBOO series is wittingly composed of bamboo skewers giving it an organic feel. The BAMBOO Sconce has a bushed cold rolled steel belt detail that wraps the fixture, giving it a minimal yet contemporary edge. The bamboo diffuser is backed by a clear glass to displace the heat from the incandescent bulb.",https://www.ridgelystudioworks.com/collections/all/products/bamboo-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/Bamboo_sconce_IDS_resized_766x767.jpg?v=1468526565,3180
BAR WALL SCONCE,"The BAR Wall Sconce is an elegant fixture that is built of cold-rolled steel, with an LED light source. The simplicity of the sconce makes it a perfect choice for bathroom vanities, dining rooms, living rooms, primary bedrooms, and entryways.",https://www.ridgelystudioworks.com/collections/all/products/bar-wall-sconce-1,https://www.ridgelystudioworks.com/cdn/shop/products/Bar_Sconce_Z2_1024x1024.jpg?v=1601043463,3180
BEAM WALL SCONCE,"The BEAM Wall Sconce is built from cold-rolled steel, and is diffused by a minimal frosted, 1"" round acrylic rod. The fixture is lit with warm white LED strip and makes the perfect addition to bathroom vanities or any space requiring a low profile depth.",https://www.ridgelystudioworks.com/collections/all/products/beam-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/files/Beam_FrontView_1024x1024.jpg?v=1686326373,3180
BICYCLE CHANDELIER - LINEAR,"The BICYCLE Chandelier is composed of reclaimed bicycle frames, welded together to create a dynamic and cool fixture. This light is the perfect option for playful interiors looking for a sculptural edge. ",https://www.ridgelystudioworks.com/collections/all/products/bicycle-chandelier-linear,https://www.ridgelystudioworks.com/cdn/shop/products/Bicycle_Chandelier_Detail-New_Resized_1024x1024.jpg?v=1543866294,3180
BICYCLE CHANDELIER - ROUND,"The BICYCLE Chandelier is composed of reclaimed bicycle frames, welded together to create a dynamic and cool fixture.
This light is the perfect option for playful interiors looking for a sculptural edge.",https://www.ridgelystudioworks.com/collections/all/products/bicycle-chandelier-round,https://www.ridgelystudioworks.com/cdn/shop/files/Bicycle-Chandelier-Round-2023_1024x1024.jpg?v=1694445716,3180
BICYCLE INSTALLATION,"(from $5000.00 to $250,000.00)",https://www.ridgelystudioworks.com/collections/all/products/bicycle-installation,https://www.ridgelystudioworks.com/cdn/shop/products/BicycleChandelierthe-blairs-silver-spring-md-lobby-photo_5ad70408-5d07-4bdf-94a2-ff5012afbc72_1024x1024.jpg?v=1675101869,3180
CRISS CROSS INTEGRATED LED CHANDELIER,"The CRISS-CROSS series was created from a genuine desire to blend art with lighting. It is a sculptural piece that is composed of cut steel rod, carefully arranged and welded in a seemingly random pattern. The CRISS-CROSS Integrated Chandelier is lit by LED strips integrated into the structure of the sculpture. The suspension cables can be adjusted on-site to have the sculpture float below the ceiling to any desired height.",https://www.ridgelystudioworks.com/collections/all/products/criss-cross,https://www.ridgelystudioworks.com/cdn/shop/products/CrissCrosswintegratedLEDBrassNickel-Copy_1024x1024.jpg?v=1658346388,3180
CRISS-CROSS CHANDELIER,"The CRISS-CROSS series was created from a genuine desire to blend art with lighting. It is a sculptural piece that is composed of cut steel rod, carefully arranged and welded in a seemingly random pattern. The CRISS-CROSS Chandelier is lit from a canopy mounted above the sculpture. The suspension cables can be adjusted on-site to have the sculpture float below the canopy to any desired height.",https://www.ridgelystudioworks.com/collections/all/products/criss-cross-chandelier,https://www.ridgelystudioworks.com/cdn/shop/products/Criss_Cross_Chandelier_Nickel_R_70612312-c798-4e95-bfe2-f8555d04385c_1024x1024.jpg?v=1625577373,3180
CRISS-CROSS PENDANT,"The CRISS-CROSS Pendant is composed of artistically welded steel square rod.  Each piece is uniquely handmade and while similar, no two fixtures are alike.",https://www.ridgelystudioworks.com/collections/all/products/criss-cross-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/Criss_Cross-Pendant_IG_1024x1024.jpg?v=1660059025,3180
CRISS-CROSS SCULPTURE (KIPS BAY),no description available,https://www.ridgelystudioworks.com/collections/all/products/criss-cross-sculpture-kips-bay,https://www.ridgelystudioworks.com/cdn/shop/products/Criss_Cross_Sculpture_KipsBay_cef661c4-d9ca-4b47-bd3a-eb5b28eb0323_1024x1024.jpg?v=1674842295,3180
CRYSTAL RAIN CHANDELIER,"(from $50,000.00 to $250,000.00)",https://www.ridgelystudioworks.com/collections/all/products/copy-of-custom,https://www.ridgelystudioworks.com/cdn/shop/products/Crystal-Rain---Web_a04fea84-cc23-439a-b719-837e2b09399e_840x840.jpg?v=1675105128,3180
GEM OFFSET PENDANT,"(from $5,000.00 to $50,000.00)",https://www.ridgelystudioworks.com/collections/all/products/gem-offset,https://www.ridgelystudioworks.com/cdn/shop/products/Gem5andGem3Custom-MeghanCarterDesign_598x598.jpg?v=1675109041,3180
GEM SINGLET PENDANT,"The GEM Singlet is a versatile pendant that emits a warm glow from a hand-blown opal white glass diffuser. This pendant can be installed at various angles or can hang perfectly straight from its solid brass hardware. The GEM Singlet is a delicate form that would be suitable for use as a stand-alone pendant, or can be used in larger groupings to create a cascading effect.",https://www.ridgelystudioworks.com/collections/all/products/gem-singlet,https://www.ridgelystudioworks.com/cdn/shop/products/GemSinglet_02d07486-4ceb-4dc3-92f1-de4b7a55ae44_1024x1024.jpg?v=1660156994,3180
GEM WALL SCONCE - CUSTOM,The GEM Wall Sconce is built of brass with an LED light source that is diffused by a hand-blown glass diffuser inspired by the shape of an abacus bead. Available in 1 or 2 Gem configurations.,https://www.ridgelystudioworks.com/collections/all/products/gem1-wall-sconce-custom,https://www.ridgelystudioworks.com/cdn/shop/files/GEM1-Wall-Sconce---Matte-Black-and-Satin-Brass-Accents-Copy_2_1024x1024.jpg?v=1694455990,3180
GEM WALL SCONCE - FIXED ARM,"Constructed of steel with an LED light source, the GEM Wall Sconce is embellished with a hand-blown glass diffuser evocative of an abacus bead. This variant of the Gem Sconce boasts a rigid arm, suitable for busy areas and commercial premises alike.",https://www.ridgelystudioworks.com/collections/all/products/gem2-wall-sconce-fixed,https://www.ridgelystudioworks.com/cdn/shop/files/GEM1-Wall-Sconce-FixedArm-Westwood_Brass_1024x1024.jpg?v=1685720441,3180
GEM1 PENDANT - LINEAR,The GEM1 Pendant is built of brass with an LED light source that is diffused by a hand-blown glass diffuser. This pendant works as an individual fixture or can be installed in larger groupings to create a dynamic installation.,https://www.ridgelystudioworks.com/collections/all/products/gem1-pendant-linear,https://www.ridgelystudioworks.com/cdn/shop/products/GEM2-LNR-BBR-R1_1024x1024.jpg?v=1658868766,3180
GEM1 PENDANT - VERTICAL,The GEM1 Pendant is built of brass with an LED light source that is diffused by a hand-blown glass diffuser. This pendant works as an individual fixture or can be installed in larger groupings to create a dynamic installation.  ,https://www.ridgelystudioworks.com/collections/all/products/gem-1-pendant-vertical,https://www.ridgelystudioworks.com/cdn/shop/products/Gem1verticalbbr-Landing_1024x1024.jpg?v=1658867419,3180
GEM1 WALL SCONCE,The GEM1 Wall Sconce is built of brass with an LED light source that is diffused by a hand-blown glass diffuser inspired by the shape of an abacus bead.,https://www.ridgelystudioworks.com/collections/all/products/gem1-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/GEM1WS107B_1024x1024.jpg?v=1675098594,3180
GEM2 PENDANT - LINEAR,The GEM Pendant is built of brass with an LED light source that is diffused by a hand-blown glass diffuser. This pendant works as an individual fixture or can be installed in larger groupings to create a dynamic installation.,https://www.ridgelystudioworks.com/collections/all/products/gem-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/GEM2-LNR-BBR-R2_1024x1024.jpg?v=1658869000,3180
GEM2 PENDANT - VERTICAL,The GEM2 Pendant is built of brass with an LED light source that is diffused by a hand-blown glass diffuser. This pendant works as an individual fixture or can be installed in larger groupings to create a dynamic installation.,https://www.ridgelystudioworks.com/collections/all/products/gem-2-pendant-vertical,https://www.ridgelystudioworks.com/cdn/shop/products/Gem2verticalbbr-Landing_1024x1024.jpg?v=1658867503,3180
GEM2 WALL SCONCE,The GEM2 Wall Sconce is built of brass with an LED light source that is diffused by a hand-blown glass diffuser inspired by the shape of an abacus bead.,https://www.ridgelystudioworks.com/collections/all/products/gem2-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/GEM2-WS-107B_1024x1024.jpg?v=1675099513,3180
GEM3 PENDANT - LINEAR,The GEM3 Pendant is built of brass with an LED light source that is diffused by a hand-blown glass diffuser. This pendant works as an individual fixture or can be installed in larger groupings to create a dynamic installation.,https://www.ridgelystudioworks.com/collections/all/products/gem3-pendant-linear,https://www.ridgelystudioworks.com/cdn/shop/products/GEM3-LNR-BBR-R2_1024x1024.jpg?v=1658869432,3180
HALO / CRISS-CROSS CHANDELIER,The HALO CRISS-CROSS Chandelier is a minimal hanging pendant internally lit by a warm white dimmable LED strip and installed with a custom CRISS-CROSS diffuser.,https://www.ridgelystudioworks.com/collections/all/products/halo-criss-cross,https://www.ridgelystudioworks.com/cdn/shop/products/Halo_CrissCross_Chandelier_Reduced_1024x1024.jpg?v=1674073709,3180
IRIS WALL SCONCE,The Iris Wall Sconce is a light fixture made from hand blown glass with an LED light source. The sconces are back-lit with warm white LED strip in the middle of the sconce which radiates outward to create a warm glow. The LED strip is contained by a plated steel disk that can be brushed or polished. Use as a stand-alone sconce or in groupings as a larger wall installation.,https://www.ridgelystudioworks.com/collections/all/products/iris-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/Iris_Wall_Sconce-Frosted_Seeded_Front_7ce4a56b-b992-4ef0-8cec-a95f347e5c2f_1024x1024.jpg?v=1531834688,3180
LEVEL WALL SCONCE,"The LEVEL Wall Sconce is built from cold rolled steel with an encompassed 1"" frosted acrylic square rod that diffuses an LED light source. 
The simplicity of the sconce makes it a perfect choice for bathroom vanities, dining rooms, living rooms, master bedrooms, and entryways.",https://www.ridgelystudioworks.com/collections/all/products/level-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/Level_Sconce-Polished_Nickel_1024x1024.jpg?v=1527005808,3180
LEVEL/ CRISS-CROSS PENDANT,"The LEVEL/ CRISS-CROSS Pendant is built of cold-rolled steel with an LED light source that is diffused by a satin hand-rubbed acrylic diffuser.
The CRISS-CROSS element is suspended below as a decorative sculpture.",https://www.ridgelystudioworks.com/collections/all/products/level-criss-cross-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/Level_Criss_Cross_Pendant_R_1024x1024.jpg?v=1517359905,3180
LUNA WALL SCONCE,"The LUNA Wall Sconce is built from cold rolled steel and features an undulated hand-blown glass disk diffuser. The sconce is back-lit with a warm white LED strip. Its minimalistic steel construction and unique diffuser are the perfect pairing for a modern living space, adding warmth and texture to any room.",https://www.ridgelystudioworks.com/collections/all/products/luna-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/Luna_Wall_Sconce-Front_213550c0-7333-4a6b-8587-ce0f995a9675_1024x1024.jpg?v=1531833054,3180
LUNETTE WALL SCONCE - RECTANGLE,The LUNETTE Wall Sconce is composed of a cold rolled steel body with a delicate armature projecting a frosted cast glass diffuser. This sconce is available in a variety of plated finishes and cast glass textures. The LUNETTE Wall Sconce is illuminated by a candelabra base socket which can be used with an incandescent or LED retrofit bulb.,https://www.ridgelystudioworks.com/collections/all/products/lunette-wall-sconce-rectangle,https://www.ridgelystudioworks.com/cdn/shop/products/Lunette_Front_View_7d7a622b-a750-427d-869c-494a2c86da92_1024x1024.jpg?v=1600960198,3180
LUNETTE WALL SCONCE - ROUND,The LUNETTE Wall Sconce is composed of a cold-rolled steel body with a delicate armature projecting a frosted cast glass diffuser. This sconce is available in a variety of plated finishes and cast glass textures. The LUNETTE Wall Sconce is illuminated by a candelabra base socket which can be used with an incandescent or LED retrofit bulb.  ,https://www.ridgelystudioworks.com/collections/all/products/lunette-wall-sconce-round,https://www.ridgelystudioworks.com/cdn/shop/products/2_1024x1024.jpg?v=1674138484,3180
LUSTER MEDALLION - BACK-LIT,Custom sizes and shapes available.,https://www.ridgelystudioworks.com/collections/all/products/luster-medallion,https://www.ridgelystudioworks.com/cdn/shop/files/Luster_Medallion-SatinBrass_1024x1024.jpg?v=1685721237,3180
LUSTER MEDALLION - UNLIT,Custom sizes and shapes available. ,https://www.ridgelystudioworks.com/collections/all/products/luster-medallion-feature,https://www.ridgelystudioworks.com/cdn/shop/files/Luster_Medallion-NonLit-LivingRoom_Full_1024x1024.jpg?v=1694176203,3180
LUSTER PEARL PENDANT,"The LUSTER Pearl Pendant is handcrafted from aluminum with an opal white glass globe diffuser. Each piece is individually sculpted by hand, so while similar no two pieces are alike. The effect is a stunning warm glow that works in residential, hospitality and commercial settings.",https://www.ridgelystudioworks.com/collections/all/products/luster-pearl-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/Pearl-Pendant---Satin-Brass-and-Semi-Gloss-White_1024x1024.jpg?v=1677169779,3180
LUSTER PENDANT,"The LUSTER Pendant is handcrafted from polished aluminum. Each piece is individually sculpted by hand, so while similar no two pieces are alike. The effect is a stunning warm glow that works in residential, hospitality and commercial settings.",https://www.ridgelystudioworks.com/collections/all/products/luster-pendant,https://www.ridgelystudioworks.com/cdn/shop/products/Luster_Pendant_1_1024x1024.jpg?v=1542991751,3180
LUSTER WALL SCONCE,"The LUSTER Wall Sconce is handcrafted from polished gold aluminum.  Each piece is individually sculpted by hand so while similar no two pieces are identical. The effect is a stunning warm glow that works in residential, hospitality and commercial settings.   ",https://www.ridgelystudioworks.com/collections/all/products/luster-wall-sconce,https://www.ridgelystudioworks.com/cdn/shop/products/Luster_Sconce_1024x1024.jpg?v=1671479183,3180
MIDNIGHT SUN,For trade pricing and custom orders please email info@ridgelystudioworks.com  ,https://www.ridgelystudioworks.com/collections/all/products/midnight-sun,https://www.ridgelystudioworks.com/cdn/shop/files/Midnight-Sun---31inch_1024x1024.jpg?v=1690478035,3180
MOVIMENTO CHANDELIER (RECTANGLE),"The MOVIMENTO Chandelier is composed of hand-cut art glass panels, delicately hung on a barely visible braided stainless steel line. The illusion of floating glass gives the fixture a whimsical feel. The light source can be mounted in the canopy of the fixture or integrated into the hanging glass. This contemporary chandelier works well in residential, hospitality, and commercial settings.",https://www.ridgelystudioworks.com/collections/all/products/movimento-chandelier-rectangle,https://www.ridgelystudioworks.com/cdn/shop/products/Movimento_Rectangle_R_1024x1024.jpg?v=1601409508,3180
MOVIMENTO CHANDELIER (ROUND),"The MOVIMENTO Chandelier is composed of hand-cut art glass panels, delicately hung on a barely visible braided stainless steel line. The illusion of floating glass gives the fixture a whimsical feel. The light source can be mounted in the canopy of the fixture or integrated into the hanging glass. This contemporary chandelier works well in residential, hospitality, and commercial settings. ",https://www.ridgelystudioworks.com/collections/all/products/movimento-chandelier-round,https://www.ridgelystudioworks.com/cdn/shop/products/Movimento_Round_Chandelier_42DIA_0420a849-f60e-4c3b-82e4-c6ba3eb134b5_1024x1024.jpg?v=1555347527,3180
RAPTURE INSTALLATION,"(from $10,000.00 to $250,000.00)",https://www.ridgelystudioworks.com/collections/all/products/rapture-installation,https://www.ridgelystudioworks.com/cdn/shop/products/Rapture-Linear_InSitu_e0ba84fa-0c55-4451-8e63-4d05579c50f0_868x868.jpg?v=1675095111,3180
