name,description,link_url,image_url,manufacturer_id
BOW LX II Array,"The BOW LX II Array creates a 145,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW LX II Array. Multiple mounting options including an adjustable knuckle slip fits over a 2 3/8″ tenon, and allows for up to 50 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment. A Bolt-On Arm that utilizes a 2 piece cleat system for easy installation. A Mast Arm Fitter that fits over a 2 3/8″ tenon. A Post Top Mount that fits over a 2 3/8″ tenon and is adjustable up to 45° and a Trunnion Mount that is adjustable up to 45°.",https://visionairelighting.com/products/bow-lx-ii-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v23.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v8.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v9.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v15.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v27.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v2.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v14.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v17.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v25.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v1.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v16.jpg']",159
BOW LX II,"The BOW LX II creates a 110,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW LX. An adjustable knuckle slip fits over a 2 3/8″ Tenon, and allows for up to 50 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment.",https://visionairelighting.com/products/bow-lx-ii/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v12.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v16.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v26.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v19.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v13.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v11.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v21.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v5.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v4.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v2.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v20.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v17.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v14.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v2.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v27.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v15.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v9.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v8.2.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v22.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v23.2.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v10.jpg']",159
BOW SX II Array,"The BOW SX II Array creates a 35,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW SX II Array. Multiple mounting options including an adjustable knuckle slip fits over a 2 3/8″ tenon, and allows for up to 50 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment. A Bolt-On Arm that utilizes a 2 piece cleat system for easy installation. A Mast Arm Fitter that fits over a 2 3/8″ tenon. A Post Top Mount that fits over a 2 3/8″ tenon and is adjustable up to 45° and a Trunnion Mount that is adjustable up to 45°.",https://visionairelighting.com/products/bow-sx-ii-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/10/Copia-de-DSC_0374-scaled.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/10/Copia-de-DSC_0338-scaled.jpg']",159
BOW SX II,"The BOW SX II creates a 17,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED maximizes the thermal management characteristics of the BOW SX II. Multiple mounting options including an adjustable knuckle slip fits over a 2 3/8″ tenon, and allows for up to 50 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment. A Bolt-On Arm that utilizes a 2 piece cleat system for easy installation. A Mast Arm Fitter that fits over a 2 3/8″ tenon. A Post Top Mount that fits over a 2 3/8″ tenon and is adjustable up to 45° and a Trunnion Mount that is adjustable up to 45°.",https://visionairelighting.com/products/bow-sx-ii/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/10/Copia-de-DSC_0257-scaled.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/10/Copia-de-DSC_0316-scaled.jpg']",159
BOW Roadway Family,"The BOW Roadway Family creates up to a 147,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW Roadway Family. Multiple mounting options including an adjustable knuckle slip fits over a 2 3/8″ tenon, and allows for up to 90 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment. A Bolt-On Arm that utilizes a 2 piece cleat system for easy installation. A Mast Arm Fitter that fits over a 2 3/8″ tenon. A Post Top Mount that fits over a 2 3/8″ tenon and is adjustable up to 45° and a Trunnion Mount that is adjustable up to 45°.",https://visionairelighting.com/products/bow-roadway-family/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v23.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v8.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v9.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v15.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v27.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v2.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v14.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v17.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v25.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v1.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v16.jpg']",159
BOW LX II Array Roadway,"The BOW LX II Array Roadway creates a 147,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW LX II. Multiple mounting options including an adjustable knuckle slip fits over a 2 3/8″ tenon, and allows for up to 90 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment. A Bolt-On Arm that utilizes a 2 piece cleat system for easy installation. A Mast Arm Fitter that fits over a 2 3/8″ tenon. A Post Top Mount that fits over a 2 3/8″ tenon and is adjustable up to 45° and a Trunnion Mount that is adjustable up to 45°.",https://visionairelighting.com/products/bow-lx-ii-array-roadway/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v23.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v8.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v9.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v15.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v27.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v2.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v14.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v17.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v25.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v1.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v16.jpg']",159
BOW SX Wall Mount,"The BOW SX uses the successful BOW components to create up to a 17,000+ lumen lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW SX. An adjustable knuckle slip fits over a 2 3/8 inch Tenon, and allows for up to 90 degrees of vertical adjustment in 10 degree increments. Also available for Wall Mount or Bolt-On Arm mounting.",https://visionairelighting.com/products/bow-sx-wall-mount/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/blx-ii-optics.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_sx_prod_img_web_v1.1.png']",159
BOW High Bay,"The Bow High Bay Series is a high performance LED Industrial luminaire for use in a multitude of applications from Aircraft Hangers, Convention Centers, Distribution Centers, Factories, Large Warehouses, Sports Arenas or any facility with mounts from 15 feet to 100 feet. Superior thermal management allows for maximum LPW output. All aluminum construction provides years of reliable operation. Choose Low Glare optical distribution patterns with motion sensors, Emergency Battery Packs, and Lighting Controls.",https://visionairelighting.com/products/bow-high-bay/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/02/bow-high-bay-slider.png', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_hb_prod_img_web_v6.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_hb_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_hb_prod_img_web_v5.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_hb_prod_img_web_v4.jpg']",159
BOW Low Bay,"The Bow Low Bay Series is a high performance LED Industrial luminaire for use in a multitude of applications from Distribution Centers, to Factories, Gyms, or Warehouses.
Superior thermal management allows for maximum LPW output. All aluminum construction provides years of reliable operation. Choose Low Brightness optical distribution patterns with motion sensors, Emergency Battery Packs, and Lighting Controls.",https://visionairelighting.com/products/bow-low-bay/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_lb_prod_img_web_v1.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_lb_prod_img_web_v4.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/bow_lb_prod_img_web_v3.jpg']",159
Cross Bow Architectural,The unique BOW LED components have been pole/bollard mounted to create the latest architectural outdoor luminaire family from Visionaire Lighting. The Cross BOW Series take architectural outdoor applications toward a European style that is unique and meaningful.,https://visionairelighting.com/products/cross-bow-architectural/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/cross-bow-o.png', 'https://visionairelighting.com/wp-content/uploads/2020/10/IMG_0378-Edit.png', 'https://visionairelighting.com/wp-content/uploads/2020/10/IMG_0395-Edit.png', 'https://visionairelighting.com/wp-content/uploads/2018/06/cbow2_gallery_image.png', 'https://visionairelighting.com/wp-content/uploads/2018/06/cbow2_gallery_image2.jpg']",159
