name,description,link_url,image_url,manufacturer_id
Lusso Large Post Top,"The Lusso Collection powered by ARRAY from Visionaire Lighting can elegantly compliment the daytime architecture of your space, while providing nighttime illumination that is up to task and equally as elegant. The collection consists of a wall sconce, bollard, single or twin arm post top and a beautiful pole mount. Available in two housings sizes and lumen packages up to 55K lumens thanks to our performance ARRAY LED platform. Scale and design creativity has no limits for any application. ",https://visionairelighting.com/products/lusso-large-post-top/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/lpt-o.png', 'https://visionairelighting.com/wp-content/uploads/2020/10/1G3A4539-scaled.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Array-L-PT-Gallery-02-2.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Array-L-PT-Gallery-01-1.png']",159
Lusso Medium Post Top,"The Lusso Collection powered by ARRAY from Visionaire Lighting can elegantly compliment the daytime architecture of your space, while providing nighttime illumination that is up to task and equally as elegant. The collection consists of a wall sconce, bollard, single or twin arm post top and a beautiful pole mount. Available in two housings sizes and lumen packages up to 55,000 lumens thanks to our performance ARRAY LED platform. Scale and design creativity has no limits for any application.",https://visionairelighting.com/products/lusso-medium-post-top/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/l-array-ptop-o.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Array-M-PT-Gallery-01.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Array-M-PT-Gallery-02.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Array-M-PT-Gallery-03.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/Lusso-Array-M-PT-Gallery-04.png']",159
Lusso Medium Post Top – Serenity Lens,"The Lusso Collection powered by ARRAY from Visionaire Lighting can elegantly compliment the daytime architecture of your space, while providing nighttime illumination that is up to task and equally as elegant. The collection consists of a wall sconce, bollard, single or twin arm post top and a beautiful pole mount. Available in two housings sizes and lumen packages up to 55,000 lumens thanks to our performance ARRAY LED platform. Scale and design creativity has no limits for any application.",https://visionairelighting.com/products/lusso-medium-post-top-serenity-lens/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/prsl-o.png', 'https://visionairelighting.com/wp-content/uploads/2019/12/Lusso-Array-M-PT-Serenity-Lens-Gallery-01.png', 'https://visionairelighting.com/wp-content/uploads/2019/12/Lusso-Array-M-PT-Serenity-Lens-Gallery-02.png', 'https://visionairelighting.com/wp-content/uploads/2019/12/Lusso-Array-M-PT-Serenity-Lens-Gallery-03.png', 'https://visionairelighting.com/wp-content/uploads/2019/12/Lusso-Array-M-PT-Serenity-Lens-Gallery-04.png', 'https://visionairelighting.com/wp-content/uploads/2019/12/Lusso-Array-M-PT-Serenity-Lens-Gallery-05.png']",159
Premier 2 L,"Contemporary design meets the new generation of green LED technology in the Premier. The Premier LED fixture can provide a new contemporary style, reduced energy consumption and reduced maintenance outdated luminaries.",https://visionairelighting.com/products/premier-ii-l/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/2l-o.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v13.jpg', 'https://visionairelighting.com/wp-content/uploads/2021/02/Premier.png', 'https://visionairelighting.com/wp-content/uploads/2018/04/Architectural_Premier-II-3_755x500.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v6.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v4.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v8.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v5.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v14.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/premier_prod_img_web_v2.png']",159
Premier 2 L Serenity Lens, ,https://visionairelighting.com/products/premier-ii-l-serenity-lens/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/prsl-o.png', 'https://visionairelighting.com/wp-content/uploads/2018/05/PRE-2-L-SL-GALLERY-1.png']",159
Premier 2 M,"Contemporary design meets the new generation of LED green technology in this stunning lumenaire, the PRE-2-M. The PRE-2-M series provides up to fifty percent energy savings over traditional HID light sources and offers excellent beam control and LED life beyond 100,000 hours for 350 milliamp systems. The PRE-2-M is offered in six optical distributions.",https://visionairelighting.com/products/premier-ii-m/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/pre2m2-o.png', 'https://visionairelighting.com/wp-content/uploads/2018/01/PRE-2-M-GALLERY-1.png']",159
Premier 2 M Serenity Lens,"Contemporary design meets the new generation of LED green technology in this stunning lumenaire, the PRE-2-M Serenity Lens. The PRE-2-M Serenity Lens series provides up to fifty percent energy savings over traditional HID light sources and offers excellent beam control and LED life beyond 100,000 hours. The Serenity lens blocks the line of site from our LED source while still giving you the maximum amount of light for any application.",https://visionairelighting.com/products/premier-ii-m-serenity-lens/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/pre2m-o.png', 'https://visionairelighting.com/wp-content/uploads/2018/05/PRE-2-M-SL-GALLERY-1.png']",159
V-Arch Bollard,V-Bollard – part of our V-Collection is a high performance architectural LED luminaire to be used in outdoor lighting applications. Sleek design takes advantage of the low profile LED lamp technology. Superior thermal management allows for maximum LPW output.,https://visionairelighting.com/products/v-arch-bollard/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/v-boll-o.png', 'https://visionairelighting.com/wp-content/uploads/2022/06/v-bollard-web.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/v_bollard_prod_img_web_v1.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/vbollard_prod_img_web_v1.jpg']",159
Apex,The Apex(TM) integrates LED technology with a popular contemporary fixture design. Apex(TM) is a scalable LED luminaire with four different lumen packages. Designers can dial right in on the desired light level and wattage for any application. The high performance of the Apex allows for great light levels AND great aesthetics in one fixture package.,https://visionairelighting.com/products/apex/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/apex-o.png', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v9.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v8.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v6.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v5.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v4.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/apex_prod_img_web.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/04/apex_prod_img_web_v2.jpg']",159
Oden Array,"This architectural Oden Array has the optical flexibility for any lighting application. The Oden Array is offered with three different sizes, ten different specification grade optics, a lumen package ranging from 5,000 – 50,000 lumens, wattage ranging 32 watts to 406 watts plus six different cap and shade options, from  is Its stylistic versatility allows it to complement any design oriented project.",https://visionairelighting.com/products/oden-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/10/ODEN-LB-City-College-2019_11_15_IMG_003826.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/10/ODEN-LB-City-College-2019_11_15_IMG_003572.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/oden_led_prod_img_web_v3-1.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/oden_led_prod_img_web_v5-1.jpg', 'https://visionairelighting.com/wp-content/uploads/2021/02/DJI_0045-scaled.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/oden_led_prod_img_web_v2-1.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/oden_led_prod_img_web_v8-3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/oden_led_prod_img_web_v6-1.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/oden_led_prod_img_web_v7-1.jpg']",159
