name,description,link_url,image_url,manufacturer_id
PGRS-2 Turtle Safe, ,https://visionairelighting.com/products/pgrs-2-turtle-safe/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGRS-2-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/PGRS-2-Gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2021/05/PGRS-2-TS-Gallery-1.png']",159
PGRS-1 Turtle Safe,"The PGrS-1 – part of our PG-Collection, is a high-performance architectural LED wall sconce with the flexibility to be used on all outdoor lighting applications. Its traditional design takes advantage of the low profile LED technology and superior thermal management allows for an L70 of 100,000+ hours. Combining specification grade performance optics and industry-leading LED technology. With three different IES light distribution patterns and cast aluminum construction that provides years of reliable operation, the PGRS-1 is ideal for any site.",https://visionairelighting.com/products/pgrs-1-turtle-safe/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGRS-2-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/PGRS-1-Gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2021/05/PGRS-1-TS-Gallery-1.png']",159
PGAS-2 Turtle Safe,PGAS-2,https://visionairelighting.com/products/pgas-2-turtle-safe/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGAS2-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/10/PGAS-2-Gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2021/05/PGAS-2-TS-Gallery-1.png']",159
PGAS-1 Turtle Safe,"The PGAS-1 – part of our PG-Collection, is a high-performance architectural LED wall sconce with the flexibility to be used on all outdoor lighting applications. Its traditional design takes advantage of the low profile LED technology and superior thermal management allows for an L70 of 100,000+ hours. Combining specification grade performance optics and industry-leading LED technology. With three different IES light distribution patterns and cast aluminum construction that provides years of reliable operation, the PGAS-1 is ideal for any site.",https://visionairelighting.com/products/pgas-1-turtle-safe/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2022/03/PGAS1-O.png', 'https://visionairelighting.com/wp-content/uploads/2019/08/PGAS-1-Gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2021/05/PGAS-1-TS-Gallery-1.png']",159
PGS-3, ,https://visionairelighting.com/products/pgs-3/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/11/PGS-3-gallery-pic.png']",159
PGS-2,The PGS-2 LED luminaire from Visionaire incorporates our single chip LED technology while maintaining a traditional architectural form factor. The LEDs performance and life are maximized by the unique integral aluminum heat sink. It is an ideal retrofit for the high-maintenance HID fixtures of yesterday.,https://visionairelighting.com/products/pgs2/,['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg'],159
PGS-1,The PGS-1 LED luminaire from Visionaire combines contemporary design with new LED technology while maintaining a traditional architectural fixture image. The LEDs Performance and Life are maximized by the unique integral aluminum heat sink. It is an ideal replacement for the high-maintenance HID fixtures of yesterday.,https://visionairelighting.com/products/pgs1/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/pgs_prod_img_web_v4.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/pgs_prod_img_web_v3.2.png']",159
PGR-3,The PGR-3 LED luminaire from Visionaire combines contemporary design with new LED technology while maintaining a traditional fixture image. The LEDs Performance and Life are maximized by the unique integral aluminum heat sink. It is an ideal replacement for the high-maintenance fluorescent or HID fixtures of yesterday.,https://visionairelighting.com/products/pgr-3/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/11/PGR-3-thumbnail-pic.png', 'https://visionairelighting.com/wp-content/uploads/2020/11/PGR-3-gallery-pic.png']",159
PGR-2,no description available,https://visionairelighting.com/products/pgr2/,['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg'],159
PGR-1,The PGR-1 LED luminaire from Visionaire combines contemporary design with new LED technology while maintaining a traditional fixture image. The LEDs Performance and Life are maximized by the unique integral aluminum heat sink. It is an ideal replacement for the high-maintenance fluorescent or HID fixtures of yesterday.,https://visionairelighting.com/products/pgr1/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/pgr_prod_img_web_v3.1.png']",159
