name,description,link_url,image_url,unique_id,manufacturer_id
Rolland LED Pendant,"Like the subtle sweep of a painter's brush, the Rolland pulsates with durable elegance mimicking the rhythmic swell of a wave. Custom K9 Crystal's suspend brilliantly from the undulating stainless steel LED rin
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/rolland-led-pendant/SM23838BCPN,https://www.studiomlighting.com/products_main_image/SM23838BCPN.jpg,SM23838BCPN,1113
10 Carat LED Round Chandelier,"Having deconstructed the chandelier, 10 Carat offers formless function with jewel-like crystals suspended by Aluminum lamp holders and fiber cords run through a wire-way constructed of tubing finished in Satin
read more...",https://www.studiomlighting.com/product/indoor-lighting/chandeliers/10-carat-led-round-chandelier/SM23785BCSNSBR,https://www.studiomlighting.com/products_main_image/SM23785BCSNSBR.jpg,SM23785BCSNSBR,1113
10 Carat LED Wall Sconce,"Having deconstructed the chandelier, 10 Carat offers formless function with jewel-like crystals suspended by Aluminum lamp holders and fiber cords run through a wire-way constructed of tubing finished in Satin
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/10-carat-led-wall-sconce/SM23781BCSNSBR,https://www.studiomlighting.com/products_main_image/SM23781BCSNSBR.jpg,SM23781BCSNSBR,1113
10 Carat LED Pendant,"Having deconstructed the chandelier, 10 Carat offers formless function with jewel-like crystals suspended by Aluminum lamp holders and fiber cords run through a wire-way constructed of tubing finished in Satin
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/10-carat-led-pendant/SM23783BCSNSBR,https://www.studiomlighting.com/products_main_image/SM23783BCSNSBR.jpg,SM23783BCSNSBR,1113
10 Carat LED Rectangular Pendant,"Having deconstructed the chandelier, 10 Carat offers formless function with jewel-like crystals suspended by Aluminum lamp holders and fiber cords run through a wire-way constructed of tubing finished in Satin
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/10-carat-led-rectangular-pendant/SM23787BCSNSBR,https://www.studiomlighting.com/products_main_image/SM23787BCSNSBR.jpg,SM23787BCSNSBR,1113
Jefferson 6-Light Chandelier,"A modern interpretation of 18th Century design, Jefferson updates a classic design combining various simple geometries. Cubes attached to a ring with suspended stirrups from a sphere all finished in Polished Si
read more...",https://www.studiomlighting.com/product/indoor-lighting/chandeliers/jefferson-6-light-chandelier/SM23766BTPS,https://www.studiomlighting.com/products_main_image/SM23766BTPS.jpg,SM23766BTPS,1113
Jefferson 1-Light Wall Sconce,"A modern interpretation of 18th Century design, Jefferson updates a classic design combining various simple geometries. Cubes attached to a ring with suspended stirrups from a sphere all finished in Polished Si
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/jefferson-1-light-wall-sconce/SM23761BTPS,https://www.studiomlighting.com/products_main_image/SM23761BTPS.jpg,SM23761BTPS,1113
Lillet 1-Light LED Wall Sconce,"Stunning LED arrangements recreate the splendor of Art Nouveau. The biophilic forms that sparkle in this distinctive structure are made of feather-like handcrafted steel and crystal. These crystal sculptures ar
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/lillet-1-light-led-wall-sconce/SM23810BCPN,https://www.studiomlighting.com/products_main_image/SM23810BCPN.jpg,SM23810BCPN,1113
Lillet 3-Light LED Pendant,"Stunning LED arrangements recreate the splendor of Art Nouveau. The biophilic forms that sparkle in this distinctive structure are made of feather-like handcrafted steel and crystal. These crystal sculptures ar
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/lillet-3-light-led-pendant/SM23813BCPN,https://www.studiomlighting.com/products_main_image/SM23813BCPN.jpg,SM23813BCPN,1113
Lillet 10-Light LED Linear Pendant,"Stunning LED arrangements recreate the splendor of Art Nouveau. The biophilic forms that sparkle in this distinctive structure are made of feather-like handcrafted steel and crystal. These crystal sculptures ar
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/lillet-10-light-led-linear-pendant/SM23819BCPN,https://www.studiomlighting.com/products_main_image/SM23819BCPN.jpg,SM23819BCPN,1113
Cradle 5-Light Linear Chandelier,"Natural Rock Crystal and Custom K9 Crystal strands are coalesced skillfully among G4 bulbs curtaining the steel frame while exuding warmth and luxury. Flaunting a gold hand-painted silver leaf finish, the Cradl
read more...",https://www.studiomlighting.com/product/indoor-lighting/chandeliers/cradle-5-light-linear-chandelier/SM23834GS,https://www.studiomlighting.com/products_main_image/SM23834GS.jpg,SM23834GS,1113
Zeppelin LED Pendant,"Encased in a brilliantly metallic cage, the Zeppelin showcases airy shapes of precision cut glass with angular details as if illuminated jewelry. The framework cage is finished in either a timeless Heritage Bra
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/zeppelin-led-pendant/SM24843GM,https://www.studiomlighting.com/products_main_image/SM24843GM.jpg,SM24843GM,1113
"Zeppelin 50"" LED Linear Pendant","Encased in a brilliantly metallic cage, the Zeppelin showcases airy shapes of precision cut glass with angular details as if illuminated jewelry. The framework cage is finished in either a timeless Heritage Bra
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/zeppelin-50-led-linear-pendant/SM24849GM,https://www.studiomlighting.com/products_main_image/SM24849GM.jpg,SM24849GM,1113
Zeppelin LED Floor Lamp,"Encased in a brilliantly metallic cage, the Zeppelin showcases airy shapes of precision cut glass with angular details as if illuminated jewelry. The framework cage is finished in either a timeless Heritage Bra
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/zeppelin-led-floor-lamp/SM24848GM,https://www.studiomlighting.com/products_main_image/SM24848GM.jpg,SM24848GM,1113
Zeppelin LED Mini Pendant,"Encased in a brilliantly metallic cage, the Zeppelin showcases airy shapes of precision cut glass with angular details as if illuminated jewelry. The framework cage is finished in either a timeless Heritage Bra
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/zeppelin-led-mini-pendant/SM24841GM,https://www.studiomlighting.com/products_main_image/SM24841GM.jpg,SM24841GM,1113
Trapeze 2-Light Pendant,"With a nod to the art and fashion world, the sculptural-art luminaire, Trapeze, showers LED light downward through glistening flat chain links finished in Polished Silver and Gold draped randomly over a Satin N
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/trapeze-2-light-pendant/SM23769SNPG,https://www.studiomlighting.com/products_main_image/SM23769SNPG.jpg,SM23769SNPG,1113
Vesta LED Desk Lamp,"Symbolic of the hearth and home, the Vesta collection draws inspiration from the Roman goddess represented by the fire of her temple. Large diameters of shallow, inverted vessels disperse indirect light upward
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/vesta-led-desk-lamp/SM81859BKFG,https://www.studiomlighting.com/products_main_image/SM81859BKFG.jpg,SM81859BKFG,1113
"Vesta 24"" LED Pendant/Semi-Flush","Symbolic of the hearth and home, the Vesta collection draws inspiration from the Roman goddess represented by the fire of her temple. Large diameters of shallow, inverted vessels disperse indirect light upward
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/vesta-24-led-pendant-semi-flush/SM81854BKFG,https://www.studiomlighting.com/products_main_image/SM81854BKFG.jpg,SM81854BKFG,1113
