name,description,link_url,image_url,manufacturer_id
VLX-XL Array,"The new VLX-XL Array LED Series offers clean, functional styling that is defined by its sleek low profile design and rugged construction. It combines LED performance and advanced LED thermal management technology and provides outdoor lighting that is both energy efficient and aesthetically pleasing.",https://visionairelighting.com/products/vlx-xl-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/09/Screen-Shot-2019-09-13-at-9.27.07-AM.png', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v11.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v19.jpg', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-array-website-banner-pic-new-new.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001474.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001502.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001521.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001526.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001541.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001559.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001590.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001502-1.png', 'https://visionairelighting.com/wp-content/uploads/2019/09/VLX-XL-2019_09_24_IMG_001474-1.png']",159
VLX Array,"The new VLX Array LED Series offers clean, functional styling defined by its sleek low profile design and rugged construction. It combines LED performance and advanced LED thermal management technology and provides outdoor lighting that is both energy efficient and aesthetically pleasing.",https://visionairelighting.com/products/vlx-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v11.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v19.jpg']",159
VLX,"The new VLX LED Series offers clean, functional styling that is defined by its sleek low profile design and rugged construction. It combines LED performance and advanced LED thermal management technology and provides outdoor lighting that is both energy efficient and aesthetically pleasing.",https://visionairelighting.com/products/vlx/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/vlx_prod_img_web_v2.1-2.png', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v2.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/vlx_prod_img_web_v4.1-1.png', 'https://visionairelighting.com/wp-content/uploads/2022/06/vlx-site-web.png', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v11.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/01/vlx_prod_img_web_v19.jpg']",159
VMX-II Array, ,https://visionairelighting.com/products/vmx-ii-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-RCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-LCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-HS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-EGLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-CLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-BD.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-ADJLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Webpage-gallery-1-On-Pole.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-AWM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-KM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-MAF.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-SAM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-UAM-on-pole.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VMX-Webpage-gallery-1-AM.png']",159
VMX-II Array – Serenity Lens, ,https://visionairelighting.com/products/vmx-ii-array-serenity-lens/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/04/VMX-II-Array-SL-HDL-Webpage-gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VMX-II-Array-SL-LDL-Webpage-gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VMX-Webpage-gallery-1-AM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-SAM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-MAF.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-KM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-AWM.png']",159
VMX-II, ,https://visionairelighting.com/products/vmx-ii/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-RCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-LCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-HS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-EGLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-CLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-BD.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-ADJLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VMX-II-Single-Chip-Webpage-gallery-1-On-Pole.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-UAM-on-pole.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-SAM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-MAF.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-KM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VMX-II-Array-Webpage-gallery-1-AWM.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VMX-Webpage-gallery-1-AM.png']",159
VSX-II Array – Serenity Lens,"The new VSX-II Array LED Series offers clean, functional styling that is defined by its sleek low profile design and rugged construction. It combines the latest LED Array technology, advanced LED thermal management and provides outdoor lighting that is both energy efficient and aesthetically pleasing.",https://visionairelighting.com/products/vsx-ii-array-serenity-lens/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/04/VSX-II-Array-SL-HDL-Webpage-gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VSX-II-Array-SL-LDL-Webpage-gallery-1.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VSX-Webpage-gallery-1-AM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-SAM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-MAF.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-KM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-AWM.png']",159
VSX-II Array,"The new VSX-II Array LED Series offers clean, functional styling that is defined by its sleek low profile design and rugged construction. It combines the latest LED Array technology, advanced LED thermal management and provides outdoor lighting that is both energy efficient and aesthetically pleasing.",https://visionairelighting.com/products/vsx-ii-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-ADJLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-BD.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-CLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-EGLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-HS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-LCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-RCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-AWM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-KM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-MAF.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-SAM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-UAM-on-pole.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VSX-Webpage-gallery-1-AM.png']",159
VSX-II,"The new VSX-II LED Series offers clean, functional styling that is defined by its sleek low profile design and rugged construction. It combines LED performance and advanced LED thermal management technology and provides outdoor lighting that is both energy efficient and aesthetically pleasing.",https://visionairelighting.com/products/vsx-ii/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-RCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-LCLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-HS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-EGLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-CLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-BD.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VXX-II-Array-Webpage-gallery-1-ADJLS.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VSX-II-Single-Chip-Webpage-gallery-1-On-Pole.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-SAM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-MAF.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-KM.png', 'https://visionairelighting.com/wp-content/uploads/2020/03/VSX-II-Array-Webpage-gallery-1-AWM.png', 'https://visionairelighting.com/wp-content/uploads/2020/04/VSX-Webpage-gallery-1-AM.png']",159
BOW LX II Array,"The BOW LX II Array creates a 145,000+ lumen site lighting package for high light level LED applications. A dedicated heat sink for each LED array maximizes the thermal management characteristics of the BOW LX II Array. Multiple mounting options including an adjustable knuckle slip fits over a 2 3/8″ tenon, and allows for up to 50 degrees of vertical adjustment in 10 degree increments from horizontal, as well as full side to side adjustment. A Bolt-On Arm that utilizes a 2 piece cleat system for easy installation. A Mast Arm Fitter that fits over a 2 3/8″ tenon. A Post Top Mount that fits over a 2 3/8″ tenon and is adjustable up to 45° and a Trunnion Mount that is adjustable up to 45°.",https://visionairelighting.com/products/bow-lx-ii-array/,"['https://visionairelighting.com/wp-content/uploads/2019/08/Motion-Sensor-Default-Setting.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v10.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v23.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v8.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v9.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v15.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v27.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v2.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v3.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v7.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v14.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v17.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v25.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/03/bow_lx_prod_img_web_v1.1.png', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v18.jpg', 'https://visionairelighting.com/wp-content/uploads/2018/02/bow_lx_prod_img_web_v16.jpg']",159
